,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
code,,,,,,,,,,,,
ABW,0.7564865946769714,1.1052134037017822,1.4830797910690308,1.2780261039733887,0.9670425653457642,1.0131638050079346,0.3173750340938568,0.3615066707134247,0.26986953616142273,0.2123802900314331,0.36323583126068115,0.22540795803070068
ADO,1.2702723741531372,1.4952607154846191,1.5859884023666382,1.4854830503463745,1.39833402633667,1.1067891120910645,0.4637984335422516,0.47905951738357544,0.27779126167297363,0.4582446813583374,0.4733543395996094,0.2555045485496521
AFG,-1.1836843490600586,-1.8800348043441772,-2.5449559688568115,-1.6598455905914307,-1.271806240081787,-1.7535287141799927,0.1733585000038147,0.2849602699279785,0.24079777300357819,0.17149770259857178,0.22212877869606018,0.13244223594665527
AGO,-0.6123757362365723,-1.0260342359542847,-0.6301085352897644,-1.0220357179641724,-0.6066985726356506,-0.8075779676437378,0.16070599853992462,0.23124447464942932,0.2195393592119217,0.16484098136425018,0.20897077023983002,0.11846493929624557
AIA,1.2702723741531372,1.2193835973739624,1.1231739521026611,0.42801448702812195,0.9721168875694275,..,0.4637984335422516,0.47905951738357544,0.4022607207298279,0.4582446813583374,0.4733543395996094,..
ALB,-0.40818944573402405,0.06454053521156311,0.10626131296157837,-0.16558510065078735,0.1593538224697113,0.14174018800258636,0.1580624133348465,0.26750409603118896,0.23304978013038635,0.15753202140331268,0.22554519772529602,0.12435869127511978
ANT,..,..,..,..,..,..,..,..,..,..,..,..
ARE,1.1556144952774048,1.2991279363632202,0.7441833019256592,0.8360565304756165,1.034780740737915,-1.1274914741516113,0.1629377156496048,0.24794547259807587,0.22655731439590454,0.1645098775625229,0.2129831314086914,0.1297542005777359
ARG,-0.4472216069698334,-0.2834897041320801,-0.09859433025121689,-0.48235180974006653,-0.6975657343864441,0.5463169813156128,0.15818484127521515,0.24451421201229095,0.22655731439590454,0.1613672524690628,0.2129831314086914,0.12792588770389557
ARM,0.027907174080610275,-0.31479236483573914,-0.7407562732696533,-0.16951580345630646,-0.019078802317380905,0.09032581746578217,0.17595066130161285,0.26750409603118896,0.23976460099220276,0.1681109070777893,0.24819724261760712,0.12986938655376434
ASM,1.2702723741531372,0.6676291227340698,1.1231739521026611,1.2211159467697144,0.5458997488021851,0.9520841836929321,0.4637984335422516,0.47905951738357544,0.4022607207298279,0.4582446813583374,0.4733543395996094,0.5260359644889832
ATG,0.3107275664806366,-0.160002663731575,0.9380820989608765,0.39078712463378906,0.2890869677066803,0.7245528101921082,0.2842825949192047,0.47905951738357544,0.2674945294857025,0.31469669938087463,0.3560672998428345,0.23487763106822968
AUS,1.7643671035766602,1.5284327268600464,0.9837159514427185,1.5088187456130981,1.8948932886123657,1.3239067792892456,0.16290423274040222,0.2654722034931183,0.2140864133834839,0.1681758463382721,0.2341291755437851,0.13832688331604004
AUT,1.2585867643356323,1.4649227857589722,0.6487100124359131,1.7042732238769531,1.2831997871398926,1.4136576652526855,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
